season,team,games_played,wins,losses,avg_points_scored,avg_points_allowed,total_points_scored,total_points_allowed,avg_point_diff,total_point_diff,home_games,away_games,win_pct,total_player_points,total_rebounds,total_assists,total_steals,total_blocks,total_turnovers,total_minutes,total_fgm,total_fga,total_3pm,total_3pa,total_ftm,total_fta,avg_true_shooting_pct,total_player_production,avg_player_production,unique_players,avg_rebounds_per_game,avg_assists_per_game,avg_turnovers_per_game,assist_turnover_ratio,field_goal_pct,three_point_pct,free_throw_pct,points_per_player_minute,win_pct_score,point_diff_score,shooting_score,three_point_score,assist_turnover_score,avg_player_production_per_game,production_score_scaled,team_efficiency_score,team_efficiency_rank
2025,Los Angeles Lakers,77,46,29,110.84415584415585,109.42857142857143,8535,8426,1.4155844155844155,109,40,37,0.5974025974025974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6453546453546454,0.5594910167386324,0.5,0.5,0.5,0.0,0.5,55.84791477910518,12
2025,Indiana Pacers,75,44,31,117.01333333333334,115.49333333333334,8776,8662,1.52,114,35,40,0.5866666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.627920227920228,0.5635775640101345,0.5,0.5,0.5,0.0,0.5,55.42704593786021,13
2025,Detroit Pistons,73,39,34,115.13698630136986,113.21917808219177,8405,8265,1.917808219178082,140,36,37,0.5342465753424658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5427935838894744,0.5791467158926064,0.5,0.5,0.5,0.0,0.5,53.26247541399939,14
2025,Sacramento Kings,75,38,37,116.26666666666667,115.54666666666667,8720,8666,0.72,54,37,38,0.5066666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4980056980056981,0.5322676993429049,0.5,0.5,0.5,0.0,0.5,50.74686342374356,15
2025,Dallas Mavericks,74,37,37,115.04054054054055,114.98648648648648,8513,8509,0.05405405405405406,4,37,37,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4871794871794872,0.5062043525388326,0.5,0.5,0.5,0.0,0.5,49.77049342885543,16
2025,Orlando Magic,76,37,39,105.51315789473684,106.03947368421052,8019,8059,-0.5263157894736842,-40,38,38,0.4868421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4658119658119659,0.4834902259665891,0.5,0.5,0.5,0.0,0.5,48.561614623523695,17
2025,Miami Heat,74,33,41,109.98648648648648,110.35135135135135,8139,8166,-0.36486486486486486,-27,36,38,0.44594594594594594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39939939939939945,0.4898089842164656,0.5,0.5,0.5,0.0,0.5,46.727206587393624,18
2025,Atlanta Hawks,76,36,39,116.14473684210526,117.96052631578948,8827,8965,-1.8157894736842106,-138,38,38,0.47368421052631576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.43302366778585705,0.5,0.5,0.5,0.0,0.5,46.658925027979755,19
2025,Phoenix Suns,75,35,40,114.34666666666666,115.94666666666667,8576,8696,-1.6,-120,37,38,0.4666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4330484330484331,0.44146909180793875,0.5,0.5,0.5,0.0,0.5,46.52818028665146,20
2025,Chicago Bulls,77,35,42,117.59740259740259,119.45454545454545,9055,9198,-1.8571428571428572,-143,39,38,0.45454545454545453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4133644133644134,0.43140520673632915,0.5,0.5,0.5,0.0,0.5,45.68606256934062,21
2025,Portland Trail Blazers,75,34,41,110.84,113.88,8313,8541,-3.04,-228,38,37,0.4533333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4113960113960114,0.3851113354069252,0.5,0.5,0.5,0.0,0.5,44.46966372705347,22
2025,San Antonio Spurs,76,30,45,112.52631578947368,115.26315789473684,8552,8760,-2.736842105263158,-208,38,38,0.39473684210526316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3162393162393163,0.3969761262281913,0.5,0.5,0.5,0.0,0.5,41.91158264288426,23
2025,Toronto Raptors,73,25,48,110.78082191780823,116.08219178082192,8087,8474,-5.301369863013699,-387,36,37,0.3424657534246575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2313546423135464,0.2966073549400369,0.5,0.5,0.5,0.0,0.5,36.85582314290731,24
2025,Brooklyn Nets,75,25,50,105.53333333333333,111.65333333333334,7915,8374,-6.12,-459,35,40,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2165242165242165,0.26456835643809096,0.5,0.5,0.5,0.0,0.5,35.609935406678765,25
2025,Philadelphia 76ers,74,23,51,109.47297297297297,115.45945945945945,8101,8544,-5.986486486486487,-443,36,38,0.3108108108108108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17994917994917994,0.269793718987284,0.5,0.5,0.5,0.0,0.5,34.64331837315749,26
2025,Charlotte Hornets,75,18,55,102.92,111.42666666666666,7719,8357,-8.506666666666666,-638,38,37,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06495726495726493,0.17116059351418905,0.5,0.5,0.5,0.0,0.5,28.727732786572673,27
2025,New Orleans Pelicans,75,19,55,108.72,118.0,8154,8850,-9.28,-696,38,37,0.25333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08660968660968664,0.14089439100253368,0.5,0.5,0.5,0.0,0.5,28.62065037335394,28
2025,Utah Jazz,74,16,58,112.52702702702703,120.5,8327,8917,-7.972972972972973,-590,38,36,0.21621621621621623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026334026334026338,0.1920479401683184,0.5,0.5,0.5,0.0,0.5,28.091219294228747,29
2025,Washington Wizards,75,15,60,108.05333333333333,120.93333333333334,8104,9070,-12.88,-966,36,39,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.5,22.499999999999996,30
